attendance_date,login_time,logout_time,total_logged_in_time,total_break_time,emp_id,Break,attendance_stat,first_half,second_half
2022-01-09,10:11:00,19:02:00,8,0,emp1001,,wo,wo,wo
2022-01-10,10:11:00,19:02:00,8,0,emp1001,,wo,wo,wo
2022-01-11,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-12,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-13,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-16,10:11:00,19:02:00,8,0,emp1001,,wo,wo,wo
2022-01-17,10:11:00,19:02:00,8,0,emp1001,,wo,wo,wo
2022-01-18,10:11:00,19:02:00,8,0,emp1001,,A,A,A
2022-01-19,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-20,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-21,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-22,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-23,10:11:00,19:02:00,8,0,emp1001,,wo,wo,wo
2022-01-26,10:11:00,19:02:00,8,0,emp1001,,wo,wo,wo
2022-01-27,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-28,10:11:00,19:02:00,8,0,emp1001,,A,A,A
2022-01-29,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-30,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-01,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-02,10:11:00,19:02:00,8,0,emp1001,,wo,wo,wo
2022-01-03,10:11:00,19:02:00,8,0,emp1001,,wo,wo,wo
2022-01-04,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-05,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-06,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-07,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-08,10:11:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-15,11:50:00,19:02:00,8,0,emp1001,,P,P,P
2022-01-14,11:50:00,19:02:00,8,0,emp1001,,P,P,P
